Energy,20221102_1642_Cr_22157b_75K_60deg_minus_0000,20221102_1646_Cr_22157b_75K_60deg_plus_0000,20221102_1649_Cr_22157b_75K_60deg_plus_0000,20221102_1653_Cr_22157b_75K_60deg_minus_0000,20221102_1656_Cr_22157b_75K_60deg_minus_0000,20221102_1659_Cr_22157b_75K_60deg_plus_0000,c+ H+,c- H+,c+ H-,c- H-,XMCD H+,XMCD H-,XAS,XMCD,XAS normalized by jump,XMCD normalized by XAS jump
eV,cminus fieldplus,cplus fieldplus,,,,,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units
,,,cplus fieldplus,cminus fieldplus,cminus fieldplus,cplus fieldplus,,,,,c-H+ - c+H+,c-H- - c+H-,,,LCOT (2T),2T
590.245,0.117393486569548,0.114367387015663,0.112990630894266,0.112435982908656,0.111842328195885,0.110996814458257,0.111993722676262,0.112139155552271,0,0,1.4543287600878E-4,0,0.0100706585683618,1.4543287600878E-4,0.155855438393446,1.15187977204031E-5
590.256,0.117392630419227,0.114340343287874,0.11297726561395,0.112422108224307,0.111840066315155,0.110989937020154,0.111983601317052,0.112131087269731,0,0,1.47485952678827E-4,0,0.0100419646814265,1.47485952678827E-4,0.15585837988936,1.62968773171452E-5
590.267,0.11739540937254,0.114377703780594,0.112958955532668,0.112380990171756,0.111874116518139,0.110961679737485,0.111960317635076,0.112127553344947,0,0,1.67235709871122E-4,0,0.0100046428294811,1.67235709871122E-4,0.155840500783655,6.37797586519233E-5
590.278,0.117399490312422,0.114376544181799,0.112990405402377,0.112394679868424,0.111874643530325,0.110970037972003,0.11198022168719,0.112134661699374,0,0,1.5444001218444E-4,0,0.0100211509908356,1.5444001218444E-4,0.15595252174834,3.27254704687408E-5
590.289,0.117425222269356,0.114354433978777,0.113022764649659,0.112439335365912,0.111850101966954,0.110993814990928,0.112008289820293,0.112144718666433,0,0,1.36428846139736E-4,0,0.0100487718458121,1.36428846139736E-4,0.156091359345517,-1.0914542021344E-5
590.3,0.117434967155248,0.114354056758223,0.113024068480631,0.112422372321896,0.111821494513024,0.111001046071125,0.112012557275878,0.11212193341746,0,0,1.09376141582324E-4,0,0.0100197498072376,1.09376141582324E-4,0.156093508961244,-7.63731723650214E-5
590.311,0.117443795506469,0.11438378347993,0.113002553371418,0.112428597349508,0.111840943164259,0.11099945857444,0.112001005972929,0.112134770256884,0,0,1.33764283954674E-4,0,0.010010531098526,1.33764283954674E-4,0.156143447046367,-1.76971568574295E-5
590.322,0.117441204206248,0.114396780637511,0.113004031727046,0.112471278196713,0.111841727057171,0.111007855455944,0.112005943591495,0.112156502626942,0,0,1.50559035447001E-4,0,0.0100266968419645,1.50559035447001E-4,0.156254641704152,2.26548429318975E-5
590.333,0.117476927814004,0.114396715539508,0.11304890871195,0.11248032829004,0.111816815554868,0.111006987539839,0.112027948125894,0.112148571922454,0,0,1.20623796559846E-4,0,0.0100302664266901,1.20623796559846E-4,0.156335439900871,-4.97597844361939E-5
590.344,0.117492350888042,0.114403231332435,0.113066593349675,0.112453917406794,0.111802399200124,0.111001569468359,0.112034081409017,0.112128158303459,0,0,9.40768944419357E-5,0,0.0100054818456316,9.40768944419357E-5,0.156347815150885,-1.13997835989948E-4
590.355,0.117469709437409,0.114413493163583,0.113022223207718,0.112456850104726,0.111820362721,0.111049384401227,0.112035803804472,0.112138606412863,0,0,1.02802608390393E-4,0,0.0100071481053053,1.02802608390393E-4,0.156424020332609,-9.31176602014315E-5
590.366,0.117440286717289,0.114426625953107,0.113018823351049,0.112475614622564,0.111837833308607,0.111059135298182,0.112038979324616,0.112156723965586,0,0,1.17744640969919E-4,0,0.0100179369329853,1.17744640969919E-4,0.156522239668772,-5.72365550382471E-5
590.377,0.117459148783616,0.11443299375302,0.113067118468362,0.1124966936912,0.111833441702291,0.111049330801855,0.112058224635109,0.112165067696745,0,0,1.06843061636441E-4,0,0.0100350217294523,1.06843061636441E-4,0.15663565214234,-8.37200454020142E-5
590.388,0.117501270808727,0.114429536676919,0.113090814066032,0.112487312333276,0.111886569454428,0.111053497675931,0.112072155870981,0.112186940893852,0,0,1.14785022870823E-4,0,0.0100603219172458,1.14785022870823E-4,0.156768889614014,-6.47311850059074E-5
590.399,0.117517149723038,0.114437531887395,0.11306338001983,0.112468101218009,0.111917081388063,0.111040975204957,0.112052177612394,0.112192591303036,0,0,1.4041369064266E-4,0,0.0100354898226563,1.4041369064266E-4,0.156781150206595,-3.06159162536106E-6
590.41,0.117473349958466,0.114459857349772,0.113092065383762,0.112489171630792,0.1119098147226,0.111050700581847,0.112071382982805,0.112199493176696,0,0,1.28110193891445E-4,0,0.0100510928215413,1.28110193891445E-4,0.156890986875544,-3.29281235319927E-5
590.421,0.117487055511107,0.114460180676999,0.113097933824258,0.112496316649797,0.111874446217012,0.111068480252798,0.112083207038528,0.112185381433405,0,0,1.02174394876892E-4,0,0.0100383008887868,1.02174394876892E-4,0.156932302223532,-9.56914896588648E-5
590.432,0.11751906024931,0.114432542836616,0.113094510105705,0.112478682011612,0.111923936366499,0.111082334653899,0.112088422379802,0.112201309189055,0,0,1.12886809253088E-4,0,0.0100489397405259,1.12886809253088E-4,0.157030159644768,-7.00171013188576E-5
590.443,0.117500795148365,0.114411555580938,0.113090903344303,0.112517761743213,0.111936771589495,0.111096185464586,0.112093544404444,0.112227266666354,0,0,1.33722261909747E-4,0,0.0100695149972804,1.33722261909747E-4,0.157151995133849,-1.99142704689531E-5
590.454,0.117477169953399,0.114448237680206,0.113113162040406,0.112529314065128,0.111947791517999,0.111079918682636,0.112096540361521,0.112238552791563,0,0,1.42012430042221E-4,0,0.0100732928343811,1.42012430042221E-4,0.157233295875459,-8.51334724849464E-8
590.465,0.117529160243944,0.114489388648408,0.113147482064308,0.112493234779268,0.111953531149167,0.111088046915348,0.112117764489828,0.112223382964218,0,0,1.05618474389585E-4,0,0.0100688428901562,1.05618474389585E-4,0.15729474172,-8.8085634055912E-5
590.476,0.117546204663145,0.114494656255232,0.113112948776069,0.112493372400991,0.111946085851811,0.11108932449217,0.112101136634119,0.112219729126401,0,0,1.18592492281272E-4,0,0.0100380569514449,1.18592492281272E-4,0.157292634774417,-5.69536498906496E-5
590.487,0.117477725654371,0.114479469727759,0.113110002832223,0.112553012390638,0.111946099188277,0.111102393751782,0.112106198292003,0.112249555789458,0,0,1.43357497455379E-4,0,0.0100624410271993,1.43357497455379E-4,0.157423661527364,2.63179330374909E-6
590.498,0.117505401307377,0.11447654289902,0.113138444793816,0.112567167834263,0.111962903310806,0.111091458873504,0.11211495183366,0.112265035572535,0,0,1.50083738874568E-4,0,0.0100761701067474,1.50083738874568E-4,0.157528976141816,1.86869355027325E-5
590.509,0.117558364407787,0.114506827822255,0.113137661404063,0.112539441288033,0.111985781508679,0.111108129879397,0.11212289564173,0.112262611398356,0,0,1.39715756625886E-4,0,0.0100711854954526,1.39715756625886E-4,0.15758913175279,-6.50890333308104E-6
